"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3020000","CDFI2260032023000001","2023-03-27","","01","영업/정상","13","영업중","","","","","02-748-4417","","","서울특별시 용산구 한강로3가 40-708","서울특별시 용산구 한강대로23길 25 (한강로3가)","04378","나인트리 프리미어 로카우스호텔 서울 용산(Nine Tree Premier ROKAUS Hotel Seoul Yongsan)","2023-03-27 16:04:36","I","2022-12-02 22:09:00.0","","196785.404801941","447267.982864433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2260032015000006","2015-12-07","","01","영업/정상","13","영업중","","","","","02-2069-0468","","","서울특별시 영등포구 영등포동4가 73","서울특별시 영등포구 영신로34길 33 (영등포동4가)","07301","JARDIN HOTEL","2023-04-21 13:46:53","U","2022-12-03 22:03:00.0","","191503.413709394","446331.214545378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3230000","CDFI2260032017000003","20171229","","01","영업/정상","13","영업중","","","","","02-417-6660","","","서울특별시 송파구 잠실동 180-7","서울특별시 송파구 백제고분로7길 23-6 (잠실동)","05557","호텔포레스타1호점","2022-05-23 11:52:40","U","2021-12-04 22:05:00.0","","207148.374688088","445418.562120928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032022000003","20221111","","01","영업/정상","13","영업중","","","","","02-777-7905","","","서울특별시 중구 필동1가 44-1","서울특별시 중구 충무로 7 (필동1가)","04554","G3호텔","2023-01-18 11:06:44","U","2022-11-30 22:00:00.0","","199303.889590262","451060.843010573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032017000002","20170213","","01","영업/정상","13","영업중","","","","","02-2018-3720","","","서울특별시 중구 남산동2가 36-6","서울특별시 중구 소공로6길 29, 1-2층 (남산동2가)","04631","우주 남산점","2022-05-31 09:09:16","U","2021-12-06 00:04:00.0","","198584.404622916","450706.008067198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFI2260032019000002","20191015","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 신림동 1432-62","서울특별시 관악구 신림로65길 10-33, 삼화 (신림동)","08760","삼화","2022-07-05 14:34:34","U","2021-12-07 00:07:00.0","","193621.587472621","442638.239212304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFI2260032014000002","20140618","","01","영업/정상","13","영업중","","","","","02-876-2277","","151890","서울특별시 관악구 신림동 1422-18","서울특별시 관악구 신림로64길 28 (신림동)","08754","나이스타임 관광호텔","2022-07-05 14:18:34","U","2021-12-07 00:07:00.0","","193854.011442373","442535.270597645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFI2260032017000003","20170829","","03","폐업","03","폐업","20221017","","","","","","","서울특별시 관악구 신림동 1432-93","서울특별시 관악구 신림로65길 16-4 (신림동)","08760","스트디오93","2022-10-17 16:02:37","U","2021-10-30 23:09:00.0","","193620.500955237","442568.3947366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3150000","CDFI2260032018000002","20180503","","01","영업/정상","13","영업중","","","","","02-6946-7000","","","서울특별시 강서구 마곡동 766-1 메리어트호텔","서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 (마곡동)","07789","코트야드 메리어트 서울 보타닉파크","2022-12-22 15:56:01","U","2021-11-01 22:04:00.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032018000001","2018-01-29","","01","영업/정상","13","영업중","","","","","2289-1000","","","서울특별시 마포구 동교동 160-5 롯데호텔 L7홍대","서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 (동교동)","03995","(주)호텔롯데 L7홍대","2023-03-02 09:10:27","U","2022-12-03 00:04:00.0","","193005.883365365","450387.023230304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFI2260032016000002","20160202","","01","영업/정상","13","영업중","","","","","0221629000","","","서울특별시 동작구 신대방동 698","서울특별시 동작구 시흥대로 596 (신대방동, 신라스테이해링턴타워)","07074","신라스테이","2022-04-13 18:16:24","U","2021-12-03 23:05:00.0","","191481.81674639","442602.765890516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3120000","CDFI2260032015000001","20150427","","01","영업/정상","13","영업중","","","","","6388-9000","","120020","서울특별시 서대문구 미근동 333","서울특별시 서대문구 충정로 76 (미근동)","03738","신라스테이서대문","2022-04-22 14:39:51","U","2021-12-03 22:04:00.0","","196994.923667002","451431.128628393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3160000","CDFI2260032020000001","20200525","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 가리봉동 135-90","서울특별시 구로구 남부순환로105다길 13 (가리봉동)","08395","골드 마운틴77","2022-11-28 14:10:20","U","2021-10-31 21:00:00.0","","190302.811716913","441970.080120562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032015000009","20150309","","01","영업/정상","13","영업중","","","","","02-6020-8813","","100861","서울특별시 중구 충무로2가 53-10","서울특별시 중구 삼일대로 302 (충무로2가)","04553","이비스 스타일 앰배서더 서울 명동","2022-08-10 10:20:21","U","2021-12-07 23:02:00.0","","198990.202955049","451044.895347229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032017000005","2017-12-15","","01","영업/정상","13","영업중","","","","","02  20111000","","","서울특별시 강남구 삼성동 142-41","서울특별시 강남구 테헤란로 415, L7 HOTELS 강남타워 (삼성동)","06160","(주)호텔롯데 L7 강남","2023-03-02 09:06:42","U","2022-12-03 00:04:00.0","","204488.365267013","444832.873128843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3030000","CDFI2260032015000001","2015-10-02","","01","영업/정상","13","영업중","","","","","02-6212-2727","","","서울특별시 성동구 용답동 228-12","서울특별시 성동구 자동차시장1길 27 (용답동)","04808","호스텔 27","2023-02-28 15:48:33","U","2022-12-03 00:04:00.0","","205288.987166136","451015.467879096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3160000","CDFI2260032014000001","2014-07-21","","01","영업/정상","13","영업중","","","","","02-6210-1000","","","서울특별시 구로구 구로동 188-25 지밸리비즈플라자","서울특별시 구로구 디지털로 300, 지밸리비즈플라자 (구로동)","08379","(주)호텔롯데 롯데시티호텔 구로","2023-03-02 15:41:57","U","2022-12-03 00:04:00.0","","190779.824680954","442527.527966789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032009000001","2009-03-09","","01","영업/정상","13","영업중","","","","","02-6009-1000","","","서울특별시 마포구 공덕동 467 롯데캐슬프레지던트","서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)","04146","(주)호텔롯데 롯데시티 호텔마포","2023-03-02 09:09:46","U","2022-12-03 00:04:00.0","","195564.375757848","449186.933273231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032020000001","2020-04-01","","01","영업/정상","13","영업중","","","","","02-2175-9000","","","서울특별시 강남구 삼성동 168-3 유니온타워","서울특별시 강남구 영동대로 506, 유니온타 (삼성동)","06173","신라스테이 삼성","2023-03-24 10:22:01","U","2022-12-02 22:06:00.0","","205513.023202982","445316.784823869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260031978000002","1978-05-01","","01","영업/정상","13","영업중","","","","","541-3111","","","서울특별시 강남구 청담동 53-7","서울특별시 강남구 영동대로 737 (청담동, 호텔리베라)","06071","호텔리베라서울","2023-03-02 09:06:57","U","2022-12-03 00:04:00.0","","204714.758457103","446852.078363788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032016000009","2016-09-23","","01","영업/정상","13","영업중","","","","","07081467711","","","서울특별시 강남구 신사동 502-11","서울특별시 강남구 강남대로 620, 3층 (신사동, 영일빌딩)","06035","어바웃스테이 신사점","2023-02-14 14:10:49","U","2022-12-01 23:06:00.0","","201684.704785227","446105.858997581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2260032007000001","20070816","","01","영업/정상","13","영업중","","","","","2090-8000, 8345","","","서울특별시 영등포구 여의도동 28-3","서울특별시 영등포구 여의대로 8 (여의도동, 여의도파크센터)","07320","메리어트 이그제큐티브 아파트먼트 서울","2022-11-17 13:50:36","U","2021-10-31 23:09:00.0","","192739.314354154","446552.469845648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2260032014000002","20141127","","01","영업/정상","13","영업중","","","","","02-2629-1300","","150102","서울특별시 영등포구 양평동2가 40-5","서울특별시 영등포구 영등포로 9 (양평동2가)","07276","호텔 브릿지","2022-05-30 14:04:55","U","2021-12-06 00:04:00.0","","189552.021760333","446847.704378567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260031989000001","1989-09-12","","02","휴업","02","휴업","","2023-03-01","2023-08-31","","3440-8000","","","서울특별시 강남구 논현동 248-7","서울특별시 강남구 언주로 640 (논현동, 임페리얼팰리스호텔)","06098","임피리얼팰리스호텔","2023-02-09 15:17:11","U","2022-12-01 23:01:00.0","","203102.074986325","445751.652027981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032007000002","20070703","","01","영업/정상","13","영업중","","","","","6361-8011","","100021","서울특별시 중구 명동1가 59-5","서울특별시 중구 남대문로 78 (명동1가)","","이비스 앰배서더 명동","2022-03-29 14:55:12","U","2021-12-02 21:01:00.0","","198433.903211956","451323.216289926","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032003000005","20031013","","01","영업/정상","13","영업중","","","","","3454-1101","","135840","서울특별시 강남구 대치동 893-1","서울특별시 강남구 삼성로 431 (대치동)","","이비스 스타일 앰배서더 강남","2022-04-19 16:10:10","U","2021-12-03 22:01:00.0","","204976.284445723","444767.617235233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032022000005","20221125","","01","영업/정상","13","영업중","","","","","02-2184-7000","","","서울특별시 중구 충무로1가 21-17","서울특별시 중구 명동8나길 38 (충무로1가)","04535","목시 서울 명동","2023-01-18 10:57:41","U","2022-11-30 22:00:00.0","","198403.083197305","451049.012425837","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260031997000001","19971230","","03","폐업","03","폐업","20220418","","","","542-0112","","","서울특별시 강남구 논현동 6 6-1","서울특별시 강남구 도산대로 144 (논현동, 영동관광호텔)","06040","영동관광호텔","2022-04-18 11:31:20","U","2021-12-03 22:00:00.0","","202108.433846703","446160.618240423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260031970000003","19700701","","01","영업/정상","13","영업중","","","","","2266-3186","","100282","서울특별시 중구 인현동2가 73-1","서울특별시 중구 마른내로 71 (인현동2가)","","호텔 PJ","2022-03-30 11:15:25","U","2021-12-04 00:01:00.0","","199550.506270874","451392.219693582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3150000","CDFI2260032002000002","20020706","","01","영업/정상","13","영업중","","","","","02-2660-9000","","157290","서울특별시 강서구 외발산동 426","서울특별시 강서구 방화대로 94 (외발산동)","","메이필드호텔","2022-04-25 11:42:25","U","2021-12-03 22:07:00.0","","183863.692502412","449443.610735042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032013000007","20130925","","01","영업/정상","13","영업중","","","","","02-6730-1134","","110340","서울특별시 종로구 익선동 34-8 호텔 이비스앰배서더 인사동","서울특별시 종로구 삼일대로30길 31 (익선동, 호텔 이비스앰배서더 인사동)","03132","호텔 이비스앰배서더 인사동","2022-07-06 10:12:16","U","2021-12-07 00:08:00.0","","198977.911015975","452460.663046516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032018000002","20180611","","01","영업/정상","13","영업중","","","","","02-738-6100","","","서울특별시 종로구 인사동 34-2","서울특별시 종로구 인사동길 20-9 (인사동)","03163","호텔쿠레타케소","2022-06-17 17:48:57","U","2021-12-05 23:09:00.0","","198797.815432789","452231.193562946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032013000002","20130213","","01","영업/정상","13","영업중","","","","","744-4647","","110340","서울특별시 종로구 익선동 46","서울특별시 종로구 삼일대로32가길 33 (익선동)","03132","호텔 다다-인사","2023-01-05 13:30:28","U","2022-12-01 00:07:00.0","","199006.378605147","452484.083300535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032016000002","2016-01-12","","01","영업/정상","13","영업중","","","","","0263101050","","","서울특별시 중구 충무로2가 62-12","서울특별시 중구 퇴계로 137 (충무로2가)","04537","호텔롯데 엘세븐명동","2023-03-03 09:07:30","U","2022-12-03 00:05:00.0","","198780.018679349","451009.773589561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3150000","CDFI2260032011000002","2011-11-30","","01","영업/정상","13","영업중","","","","","02-6116-1000","","","서울특별시 강서구 방화동 886 외 6필지","서울특별시 강서구 하늘길 38 (방화동)","07505","(주)호텔롯데 롯데시티호텔 김포공항","2023-03-03 15:31:20","U","2022-12-03 00:05:00.0","","182524.823835629","451438.25089679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3160000","CDFI2260032023000001","2023-02-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 구로동 707-11","서울특별시 구로구 가마산로 158-2 (구로동)","08310","지니의 2층 3룸 주택(Genie's second floor, three room house)","2023-02-08 18:28:52","I","2022-12-01 23:00:00.0","","189450.264635122","443088.528795632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260031967000001","19670403","","02","휴업","02","휴업","","20230101","20271231","","02-734-6884","","","서울특별시 종로구 종로2가 9 (8층)","서울특별시 종로구 종로 69 (종로2가, YMCA)","03164","서울YMCA관광호텔","2022-12-21 16:33:19","U","2021-11-01 22:03:00.0","","198630.79627088","452035.412646906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032015000003","20150420","","03","폐업","03","폐업","20220215","","","","02-733-5600","","110170","서울특별시 종로구 견지동 21 ","서울특별시 종로구 율곡로4길 11-3, 1층 (견지동)","03144","아름호스텔","2022-03-07 13:42:32","U","2022-03-10 02:40:00.0","","198354.893145135    ","452526.073191496    ","관광숙박업","","","1","","","","","1","","6","","AROOM HOSTEL","Tourist Accomodation Business","","","","","","","","79","","","","","","","","","20000000","","","","79","호스텔업"
"3000000","CDFI2260032023000001","2023-02-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 원남동 233 종로하루","서울특별시 종로구 창경궁로21가길 5-3, 종로하루 (원남동)","03136","종로하루","2023-02-17 10:02:59","U","2022-12-01 23:09:00.0","","199626.352160596","452520.392539419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032013000005","20130512","","03","폐업","03","폐업","20201127","","","","070-8958-0505","","110340","서울특별시 종로구 익선동 89 ","서울특별시 종로구 삼일대로32가길 38 (익선동)","03132","Hostel STAY NOW","2020-11-27 15:29:47","U","2020-11-29 02:40:00.0","","199022.300982384    ","452472.976006603    ","관광숙박업","","일반상업지역","9","학교정화(상대)","","","숙박시설","9","1","20","548","Hostel STAY NOW","Tourist Accommodation Business(Hostel)","","","","","","","","547","","","","","","","","","220000000","","","","547","호스텔업"
"3000000","CDFI2260032018000001","2018-02-14","","01","영업/정상","13","영업중","","","","","2235-1301","","","서울특별시 종로구 숭인동 1405","서울특별시 종로구 난계로29길 19-11 (숭인동)","03116","루미아호텔","2023-04-06 13:36:00","U","2022-12-04 00:08:00.0","","201895.419403144","452395.129773561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2260032022000001","20220526","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 양평동1가 31-5 가온","서울특별시 영등포구 선유로24길 3-3, 가온 (양평동1가)","07262","가온","2022-05-26 10:54:11","I","2021-12-04 22:08:00.0","","190266.579204407","446769.272182126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032022000001","20220418","","01","영업/정상","13","영업중","","","","","02-518-0647","","","서울특별시 강남구 논현동 6 보코서울강남(가족호텔)","서울특별시 강남구 도산대로 144, 보코서울강남(가족호텔) (논현동)","06040","보코 서울 강남","2022-04-18 15:13:16","I","2021-12-03 22:00:00.0","","202108.433846703","446160.618240423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3110000","CDFI2260032016000001","20160913","","01","영업/정상","13","영업중","","","","","023829995","","","서울특별시 은평구 응암동 109-7","서울특별시 은평구 은평로8길 1 (응암동)","03454","브릭스관광호텔","2022-05-30 15:48:03","U","2021-12-06 00:04:00.0","","192971.089564435","455290.104972775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032022000002","20220329","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 회현동2가 42-10","서울특별시 중구 소공로6나길 8, 1-2층 (회현동2가)","04630","제이오너 호스텔","2022-04-01 10:54:05","U","2021-12-04 00:03:00.0","","198483.811641009","450642.314853297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032015000001","20150126","","01","영업/정상","13","영업중","","","","","02-744-1271","","110380","서울특별시 종로구 권농동 127-1","서울특별시 종로구 율곡로10길 11 (권농동)","03134","셀립 순라","2022-05-31 17:26:28","U","2021-12-06 00:04:00.0","","199156.623916493","452747.807991092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3170000","CDFI2260032022000001","2022-02-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 독산동 1006-112","서울특별시 금천구 범안로12길 29-29 (독산동)","08602","로즈데일 인 독산","2023-03-10 15:43:52","U","2022-12-02 23:02:00.0","","190517.410148318","440300.104174246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032012000002","20120928","","03","폐업","03","폐업","20230113","","","","736-1234","","110170","서울특별시 종로구 견지동 65-1","서울특별시 종로구 우정국로 46 (견지동)","03145","(주)아워홈 아벤트리호텔 종로점","2023-01-16 18:03:29","U","2022-11-30 23:08:00.0","","198469.85451949","452315.746209246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032013000007","20131016","","03","폐업","03","폐업","20220502","","","","2098-2050","","100013","서울특별시 중구 충무로3가 43","서울특별시 중구 충무로 15 (충무로3가)","04554","티마크호텔명동","2022-06-15 10:31:06","U","2021-12-05 23:07:00.0","","199273.815368546","451144.90452668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2260032021000001","20210217","","01","영업/정상","13","영업중","","","","","02-3395-6000","","","서울특별시 영등포구 여의도동 22 파크원","서울특별시 영등포구 여의대로 108, 파크원호텔 (여의도동)","07335","페어몬트 앰배서더 서울(Fairmont Ambassador Seoul)","2022-06-13 10:28:31","U","2021-12-05 23:06:00.0","","193592.000380036","447092.629432527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032014000001","20140620","","03","폐업","03","폐업","20211231","","","","2176-3659","","100197","서울특별시 중구 을지로7가 58-1","서울특별시 중구 을지로 280-2 (을지로7가)","04565","24게스트하우스동대문","2022-06-15 10:39:35","U","2021-12-05 23:07:00.0","","200730.296204033","451454.338715818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032012000003","2012-11-09","","01","영업/정상","13","영업중","","","","","02-731-1000","","110-704","서울특별시 종로구 관훈동 198-42","서울특별시 종로구 인사동5길 38 (관훈동)","03149","아미드 호텔 서울","2023-04-04 08:42:58","U","2022-12-04 00:06:00.0","","198534.549198735","452256.166993396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032021000003","20211222","","01","영업/정상","13","영업중","","","","","02-3774-1101","","","서울특별시 마포구 동교동 162-5 MERCURE 앰배서더 HOTEL 홍대","서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)","04050","머큐어 앰배서더 서울 홍대","2022-04-11 15:57:36","U","2021-12-03 23:03:00.0","","193073.64466155","450341.82321403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032019000004","2019-07-26","","01","영업/정상","13","영업중","","","","","02-753-5161","","","서울특별시 중구 남산동2가 35-2","서울특별시 중구 퇴계로18길 43, 지하1,1,2층 (남산동2가)","04631","오요5","2023-02-28 09:12:12","U","2022-12-03 00:03:00.0","","198591.133748202","450740.353160129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032012000001","2012-04-04","","01","영업/정상","13","영업중","","","","","02-2223-6500","","110-420","서울특별시 종로구 관수동 124 외1","서울특별시 종로구 청계천로 117 (관수동)","03192","호텔베뉴지","2023-04-10 20:51:51","U","2022-12-03 23:02:00.0","","199121.144814384","451827.704774757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
